表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ
あさましい,形容詞,自立,*,*,形容詞・イ段,基本形,あさましい,アサマシイ,アサマシイ
身,名詞,一般,*,*,*,*,身,ミ,ミ
と,助詞,格助詞,一般,*,*,*,と,ト,ト
成り,動詞,自立,*,*,五段・ラ行,連用形,成る,ナリ,ナリ
果て,動詞,自立,*,*,一段,連用形,果てる,ハテ,ハテ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ
、,記号,読点,*,*,*,*,、,、,、
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
、,記号,読点,*,*,*,*,、,、,、
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
詩集,名詞,一般,*,*,*,*,詩集,シシュウ,シシュー
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
長安,名詞,固有名詞,地域,一般,*,*,長安,ナガヤス,ナガヤス
風流,名詞,一般,*,*,*,*,風流,フリュウ,フリュー
人士,名詞,一般,*,*,*,*,人士,ジンシ,ジンシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
机,名詞,一般,*,*,*,*,机,ツクエ,ツクエ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
上,名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
置か,動詞,自立,*,*,五段・カ行イ音便,未然形,置く,オカ,オカ
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
様,名詞,接尾,人名,*,*,*,様,サマ,サマ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、,記号,読点,*,*,*,*,、,、,、
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
の,名詞,非自立,一般,*,*,*,の,ノ,ノ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。,記号,句点,*,*,*,*,。,。,。
岩窟,名詞,一般,*,*,*,*,岩窟,ガンクツ,ガンクツ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
横たわっ,動詞,自立,*,*,五段・ラ行,連用タ接続,横たわる,ヨコタワッ,ヨコタワッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
。,記号,句点,*,*,*,*,。,。,。
嗤,名詞,固有名詞,組織,*,*,*,嗤,嗤,嗤
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
くれ,動詞,非自立,*,*,一段・クレル,命令ｅ,くれる,クレ,クレ
。,記号,句点,*,*,*,*,。,。,。
詩人,名詞,一般,*,*,*,*,詩人,シジン,シジン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
成り,動詞,自立,*,*,五段・ラ行,連用形,成る,ナリ,ナリ
そこ,名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
虎,名詞,一般,*,*,*,*,虎,トラ,トラ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
哀れ,名詞,形容動詞語幹,*,*,*,*,哀れ,アワレ,アワレ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
男,名詞,一般,*,*,*,*,男,オトコ,オトコ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
。,記号,句点,*,*,*,*,。,。,。
（,記号,括弧開,*,*,*,*,（,（,（
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
昔,名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
青年,名詞,一般,*,*,*,*,青年,セイネン,セイネン
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
自嘲,名詞,サ変接続,*,*,*,*,自嘲,ジチョウ,ジチョー
癖,名詞,接尾,一般,*,*,*,癖,ヘキ,ヘキ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
思出,名詞,一般,*,*,*,*,思出,思出,思出
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、,記号,読点,*,*,*,*,、,、,、
哀しく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,哀しい,カナシク,カナシク
聞い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
）,記号,括弧閉,*,*,*,*,）,）,）
そう,名詞,特殊,助動詞語幹,*,*,*,そう,ソウ,ソー
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
。,記号,句点,*,*,*,*,。,。,。
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ
笑い草,名詞,一般,*,*,*,*,笑い草,ワライグサ,ワライグサ
ついで,名詞,一般,*,*,*,*,ついで,ツイデ,ツイデ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
、,記号,読点,*,*,*,*,、,、,、
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
懐,名詞,一般,*,*,*,*,懐,フトコロ,フトコロ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
即席,名詞,一般,*,*,*,*,即席,ソクセキ,ソクセキ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
詩,名詞,一般,*,*,*,*,詩,シ,シ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
述べ,動詞,自立,*,*,一段,連用形,述べる,ノベ,ノベ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
見よ,動詞,自立,*,*,一段,未然ウ接続,見る,ミヨ,ミヨ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
。,記号,句点,*,*,*,*,。,。,。
この,連体詞,*,*,*,*,*,この,コノ,コノ
虎,名詞,一般,*,*,*,*,虎,トラ,トラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
、,記号,読点,*,*,*,*,、,、,、
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ
、,記号,読点,*,*,*,*,、,、,、
曾,名詞,一般,*,*,*,*,曾,曾,曾
て,助詞,格助詞,連語,*,*,*,て,テ,テ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
生き,動詞,自立,*,*,一段,連用形,生きる,イキ,イキ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
しるし,名詞,一般,*,*,*,*,しるし,シルシ,シルシ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
袁傪,名詞,一般,*,*,*,*,袁傪,袁傪,袁傪
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
又,接続詞,*,*,*,*,*,又,マタ,マタ
下,接頭詞,数接続,*,*,*,*,下,シモ,シモ
吏,名詞,一般,*,*,*,*,吏,吏,吏
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
命じ,動詞,自立,*,*,一段,連用形,命じる,メイジ,メイジ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
書きとら,動詞,自立,*,*,五段・ラ行,未然形,書きとる,カキトラ,カキトラ
せ,動詞,接尾,*,*,一段,連用形,せる,セ,セ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
その,連体詞,*,*,*,*,*,その,ソノ,ソノ
詩,名詞,一般,*,*,*,*,詩,シ,シ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
言う,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
。,記号,句点,*,*,*,*,。,。,。
     ,記号,空白,*,*,*,*,     ,     ,     
偶因,名詞,一般,*,*,*,*,偶因,グウイン,グーイン
狂,名詞,接尾,一般,*,*,*,狂,キョウ,キョー
疾成殊,名詞,一般,*,*,*,*,疾成殊,疾成殊,疾成殊
類,名詞,接尾,一般,*,*,*,類,ルイ,ルイ
 ,記号,空白,*,*,*,*, , , 
災,名詞,一般,*,*,*,*,災,ワザワイ,ワザワイ
患相仍,名詞,一般,*,*,*,*,患相仍,患相仍,患相仍
不可,名詞,接尾,一般,*,*,*,不可,フカ,フカ
逃,名詞,一般,*,*,*,*,逃,逃,逃
    ,記号,空白,*,*,*,*,    ,    ,    
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
爪牙,名詞,一般,*,*,*,*,爪牙,ソウガ,ソーガ
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
敢敵,名詞,一般,*,*,*,*,敢敵,敢敵,敢敵
 ,記号,空白,*,*,*,*, , , 
当時,名詞,副詞可能,*,*,*,*,当時,トウジ,トージ
声,名詞,接尾,一般,*,*,*,声,ゴエ,ゴエ
跡,名詞,一般,*,*,*,*,跡,アト,アト
共,名詞,接尾,一般,*,*,*,共,ドモ,ドモ
相,名詞,接尾,一般,*,*,*,相,ショウ,ショー
高,名詞,接尾,一般,*,*,*,高,ダカ,ダカ
    ,記号,空白,*,*,*,*,    ,    ,    
我,名詞,一般,*,*,*,*,我,ワガ,ワガ
為,名詞,非自立,副詞可能,*,*,*,為,タメ,タメ
異物,名詞,一般,*,*,*,*,異物,イブツ,イブツ
蓬,名詞,一般,*,*,*,*,蓬,ヨモギ,ヨモギ
茅,名詞,一般,*,*,*,*,茅,カヤ,カヤ
下,名詞,接尾,一般,*,*,*,下,カ,カ
 ,記号,空白,*,*,*,*, , , 
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
已乗軺,名詞,一般,*,*,*,*,已乗軺,已乗軺,已乗軺
気勢,名詞,一般,*,*,*,*,気勢,キセイ,キセイ
豪,名詞,固有名詞,地域,国,*,*,豪,ゴウ,ゴー
    ,記号,空白,*,*,*,*,    ,    ,    
此夕渓,名詞,固有名詞,地域,一般,*,*,此夕渓,此夕渓,此夕渓
山,名詞,接尾,地域,*,*,*,山,サン,サン
対,名詞,接続詞的,*,*,*,*,対,タイ,タイ
明月,名詞,固有名詞,地域,一般,*,*,明月,メイゲツ,メイゲツ
 ,記号,空白,*,*,*,*, , , 
不,接頭詞,名詞接続,*,*,*,*,不,フ,フ
成長,名詞,サ変接続,*,*,*,*,成長,セイチョウ,セイチョー
嘯但成,名詞,一般,*,*,*,*,嘯但成,嘯但成,嘯但成
嘷,名詞,一般,*,*,*,*,嘷,嘷,嘷
   ,記号,空白,*,*,*,*,   ,   ,   
時に,副詞,一般,*,*,*,*,時に,トキニ,トキニ
、,記号,読点,*,*,*,*,、,、,、
残月,名詞,一般,*,*,*,*,残月,ザンゲツ,ザンゲツ
、,記号,読点,*,*,*,*,、,、,、
光,名詞,一般,*,*,*,*,光,ヒカリ,ヒカリ
冷やか,名詞,形容動詞語幹,*,*,*,*,冷やか,ヒヤヤカ,ヒヤヤカ
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
、,記号,読点,*,*,*,*,、,、,、
白露,名詞,一般,*,*,*,*,白露,シラツユ,シラツユ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
地,名詞,一般,*,*,*,*,地,チ,チ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
滋,名詞,固有名詞,人名,名,*,*,滋,シゲル,シゲル
く,動詞,非自立,*,*,五段・カ行促音便,基本形,く,ク,ク
、,記号,読点,*,*,*,*,、,、,、
樹,名詞,一般,*,*,*,*,樹,キ,キ
間,名詞,接尾,一般,*,*,*,間,カン,カン
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
渡る,動詞,自立,*,*,五段・ラ行,基本形,渡る,ワタル,ワタル
冷風,名詞,一般,*,*,*,*,冷風,レイフウ,レイフー
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
既に,副詞,一般,*,*,*,*,既に,スデニ,スデニ
暁,名詞,一般,*,*,*,*,暁,アカツキ,アカツキ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
近き,形容詞,自立,*,*,形容詞・アウオ段,体言接続,近い,チカキ,チカキ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
告げ,動詞,自立,*,*,一段,連用形,告げる,ツゲ,ツゲ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
人々,名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
最早,副詞,一般,*,*,*,*,最早,モハヤ,モハヤ
、,記号,読点,*,*,*,*,、,、,、
事,名詞,一般,*,*,*,*,事,コト,コト
の,助詞,連体化,*,*,*,*,の,ノ,ノ
奇異,名詞,形容動詞語幹,*,*,*,*,奇異,キイ,キイ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
忘れ,動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ
、,記号,読点,*,*,*,*,、,、,、
粛然,名詞,一般,*,*,*,*,粛然,シュクゼン,シュクゼン
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、,記号,読点,*,*,*,*,、,、,、
この,連体詞,*,*,*,*,*,この,コノ,コノ
詩人,名詞,一般,*,*,*,*,詩人,シジン,シジン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
薄倖,名詞,一般,*,*,*,*,薄倖,ハッコウ,ハッコー
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
嘆,名詞,一般,*,*,*,*,嘆,嘆,嘆
じ,助動詞,*,*,*,不変化型,基本形,じ,ジ,ジ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
李,名詞,固有名詞,人名,姓,*,*,李,リ,リ
徴,名詞,一般,*,*,*,*,徴,シルシ,シルシ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
声,名詞,一般,*,*,*,*,声,コエ,コエ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
再び,副詞,助詞類接続,*,*,*,*,再び,フタタビ,フタタビ
続ける,動詞,自立,*,*,一段,基本形,続ける,ツヅケル,ツズケル
。,記号,句点,*,*,*,*,。,。,。
  ,記号,空白,*,*,*,*,  ,  ,  
何故,副詞,助詞類接続,*,*,*,*,何故,ナゼ,ナゼ
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ
運命,名詞,一般,*,*,*,*,運命,ウンメイ,ウンメイ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
判ら,動詞,自立,*,*,五段・ラ行,未然形,判る,ワカラ,ワカラ
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
、,記号,読点,*,*,*,*,、,、,、
先刻,名詞,副詞可能,*,*,*,*,先刻,センコク,センコク
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
言っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、,記号,読点,*,*,*,*,、,、,、
考え,名詞,一般,*,*,*,*,考え,カンガエ,カンガエ
よう,名詞,接尾,一般,*,*,*,よう,ヨウ,ヨー
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
依れ,動詞,自立,*,*,五段・ラ行,仮定形,依る,ヨレ,ヨレ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
、,記号,読点,*,*,*,*,、,、,、
思い当る,動詞,自立,*,*,五段・ラ行,基本形,思い当る,オモイアタル,オモイアタル
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
全然,副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。,記号,句点,*,*,*,*,。,。,。
人間,名詞,一般,*,*,*,*,人間,ニンゲン,ニンゲン
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
時,名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
、,記号,読点,*,*,*,*,、,、,、
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
努め,動詞,自立,*,*,一段,連用形,努める,ツトメ,ツトメ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
人,名詞,一般,*,*,*,*,人,ヒト,ヒト
と,助詞,格助詞,一般,*,*,*,と,ト,ト
の,助詞,連体化,*,*,*,*,の,ノ,ノ
交,名詞,一般,*,*,*,*,交,交,交
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
避け,動詞,自立,*,*,一段,連用形,避ける,サケ,サケ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
人々,名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
倨傲,名詞,形容動詞語幹,*,*,*,*,倨傲,キョゴウ,キョゴー
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
、,記号,読点,*,*,*,*,、,、,、
尊大,名詞,形容動詞語幹,*,*,*,*,尊大,ソンダイ,ソンダイ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
実は,接続詞,*,*,*,*,*,実は,ジツハ,ジツワ
、,記号,読点,*,*,*,*,、,、,、
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
殆ど,名詞,副詞可能,*,*,*,*,殆ど,ホトンド,ホトンド
羞恥心,名詞,一般,*,*,*,*,羞恥心,シュウチシン,シューチシン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
近い,形容詞,自立,*,*,形容詞・アウオ段,基本形,近い,チカイ,チカイ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、,記号,読点,*,*,*,*,、,、,、
人々,名詞,一般,*,*,*,*,人々,ヒトビト,ヒトビト
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
知ら,動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
勿論,副詞,一般,*,*,*,*,勿論,モチロン,モチロン
、,記号,読点,*,*,*,*,、,、,、
曾,名詞,一般,*,*,*,*,曾,曾,曾
て,助詞,格助詞,連語,*,*,*,て,テ,テ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
郷党,名詞,一般,*,*,*,*,郷党,キョウトウ,キョートー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
鬼才,名詞,一般,*,*,*,*,鬼才,キサイ,キサイ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
いわ,動詞,自立,*,*,五段・ワ行促音便,未然形,いう,イワ,イワ
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
、,記号,読点,*,*,*,*,、,、,、
自尊心,名詞,一般,*,*,*,*,自尊心,ジソンシン,ジソンシン
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
無かっ,形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,無い,ナカッ,ナカッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
云わ,動詞,自立,*,*,五段・ワ行促音便,未然形,云う,イワ,イワ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。,記号,句点,*,*,*,*,。,。,。
しかし,接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、,記号,読点,*,*,*,*,、,、,、
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
臆病,名詞,形容動詞語幹,*,*,*,*,臆病,オクビョウ,オクビョー
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
自尊心,名詞,一般,*,*,*,*,自尊心,ジソンシン,ジソンシン
と,助詞,格助詞,一般,*,*,*,と,ト,ト
で,助詞,格助詞,一般,*,*,*,で,デ,デ
も,助詞,係助詞,*,*,*,*,も,モ,モ
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
べき,助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
己,名詞,代名詞,一般,*,*,*,己,オノレ,オノレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
詩,名詞,一般,*,*,*,*,詩,シ,シ
によって,助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ
名,名詞,一般,*,*,*,*,名,ナ,ナ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
